grade,subject,chapter,step,type,severity,quote,problem
Grade 8,English,Unit 3: Mystery and Magic,Core explanation,TOPIC_MISMATCH,high,"You will study The Magic Brush of Dreams as a narrative poem about kindness, power, greed, and courage.","This step's content is about a different chapter/topic, 'The Magic Brush of Dreams', not the given chapter label, 'The Case of the Fifth Word'."
Grade 8,English,Unit 4: Environment,Concept introduction,UNSUPPORTED_CLAIM,low,You will trace the growth of Rakesh’s cherry tree and the parallel growth of Rakesh himself.,"The chapter's content focuses on the story of Rakesh and his cherry tree, but this step's claim is broader and more general."
Grade 8,English,Unit 4: Environment,Exam-style problems,TOPIC_MISMATCH,high,You will revise grammar and vocabulary drawn from all three texts.,"This step's content is about grammar and vocabulary, which is not relevant to the chapter's topic of the story of Rakesh and his cherry tree."
Grade 8,English,Unit 4: Environment,Revision and recap,UNSUPPORTED_CLAIM,low,"You will connect the unit’s literary ideas with conservation, agriculture, speaking, listening, and writing.","This step's claim is broader and more general than the chapter's content, which focuses on the story of Rakesh and his cherry tree."
Grade 8,English,Unit 4: Environment,Worked examples,UNSUPPORTED_CLAIM,low,You will analyse Waiting for the Rain through Velu’s changing understanding.,"This step's content is about a different story, Waiting for the Rain, which is not the main focus of the chapter."
Grade 8,English,Unit 5: Science and Curiosity,Concept introduction,UNSUPPORTED_CLAIM,low,Claribel adapts to a space station and unexpectedly becomes a more effective warning system than costly engineering.,"This statement is not supported by the provided text, which only mentions that Claribel's collapse reveals the air danger when the purifier and alarm circuit fail."
Grade 8,Hindi,Chapter 1: स्वदेश,Concept introduction,UNSUPPORTED_CLAIM,low,"कवि संवेदनशील, प्रेरक और देश से जुड़ा जीवन चाहता है।","The claim that the poet wants a sensitive, inspiring, and connected life to the country is not explicitly mentioned in the source text."
Grade 8,Hindi,Chapter 1: स्वदेश,Core explanation,UNSUPPORTED_CLAIM,low,कवि के अनुसार केवल प्रेम की घोषणा पर्याप्त नहीं है।,The claim that the poet believes that only declaration of love is not enough is not explicitly mentioned in the source text.
Grade 8,Hindi,Chapter 1: स्वदेश,Exam-style problems,UNSUPPORTED_CLAIM,low,"तुक कविता को लय देती है, योजक चिह्न शब्दों का संबंध दिखाता है और बदला शब्द-क्रम काव्यात्मक प्रभाव बनाता है।","The claim that the poet believes that the rhythm of the poem is created by the use of tuk, yojak chihn, and changed word order is not explicitly mentioned in the source text."
Grade 8,Hindi,Chapter 1: स्वदेश,Revision and recap,UNSUPPORTED_CLAIM,low,देश-प्रेम जिम्मेदार कार्य है।,The claim that patriotism is a responsible work is not explicitly mentioned in the source text.
Grade 8,Hindi,Chapter 1: स्वदेश,Worked examples,UNSUPPORTED_CLAIM,low,"कवि देश को केवल भूमि नहीं मानता; वही जीवन, परिवार, पहचान और गौरव का आधार है।","The claim that the poet does not consider the country as only land; it is the basis of life, family, identity, and glory is not explicitly mentioned in the source text."
Grade 8,Hindi,Chapter 10: तरुण के स्वप्न,Core explanation,UNSUPPORTED_CLAIM,low,स्वाधीनता सामाजिक और आर्थिक भी है।,"The claim that 'स्वाधीनता सामाजिक और आर्थिक भी है' is not directly supported by the source text, which emphasizes the importance of social and economic equality in an independent society."
Grade 8,Hindi,Chapter 2: दो गौरैैयाा,Concept introduction,UNSUPPORTED_CLAIM,low,घर और आँगन में अनेक पक्षी तथा जीव-जंतु आते-जाते और रहते हैं,The text does not explicitly state that the house and courtyard are inhabited by many animals.
Grade 8,Hindi,Chapter 2: दो गौरैैयाा,Core explanation,UNSUPPORTED_CLAIM,low,"माँ सीधे असफलता नहीं कहतीं, वह ‘चूहों को तो निकाल नहीं पाए’ और ‘यह आदमी कौन है और नाच क्यों रहा है’ जैसी चुटीली बातें कहती हैं",The text does not explicitly state that the mother's comments are sarcastic.
Grade 8,Hindi,Chapter 2: दो गौरैैयाा,Exam-style problems,UNSUPPORTED_CLAIM,low,मल्हार गा रही थीं,The text does not explicitly state that the gouraies are singing a raga.
Grade 8,Hindi,Chapter 2: दो गौरैैयाा,Revision and recap,UNSUPPORTED_CLAIM,low,दूसरे जीवों के घर का सम्मान आवश्यक है,The text does not explicitly state that respecting other animals' homes is necessary.
Grade 8,Hindi,Chapter 2: दो गौरैैयाा,Worked examples,UNSUPPORTED_CLAIM,low,बच्चों की पुकार निर्णायक मोड़ है,The text does not explicitly state that the children's calls are a turning point.
Grade 8,Hindi,Chapter 3: एक आशीर्वाद,Core explanation,UNSUPPORTED_CLAIM,low,"कविता में स्वप्न जीवित पात्र की तरह आगे बढ़ते, हँसते, मुसकराते और सीखते हैं।","कविता में स्वप्न जीवित पात्र की तरह आगे बढ़ते, हँसते, मुसकराते और सीखते हैं - यह दावा केवल इस पाठ के अनुसार सही नहीं है, क्योंकि यह कविता के मूल स्रोत में नहीं है।"
Grade 8,Hindi,Chapter 3: एक आशीर्वाद,Revision and recap,UNSUPPORTED_CLAIM,low,"डॉ. कलाम का उद्बोधन सपने को जागरूक प्रयास, अवसर और उपलब्ध समय के बेहतर उपयोग से जोड़ता है।","यह दावा केवल इस पाठ के अनुसार सही नहीं है, क्योंकि यह कविता के मूल स्रोत में नहीं है।"
Grade 8,Hindi,Chapter 4: हरिद्वार,Core explanation,UNSUPPORTED_CLAIM,low,पाठ की भाषा आज की हिंदी से पुरानी है,The text does not explicitly state that the language of the poem is older than modern Hindi.
Grade 8,Hindi,Chapter 5: कबीर के दोहे,Concept introduction,TOPIC_MISMATCH,low,"आप सत्य, उपयोगिता और गुरु के महत्व से जुड़े प्रारंभिक दोहों का अर्थ समझेंगे।","This step is supposed to introduce the concept of the chapter, but it's actually about the content of the chapter, not the concept itself."
Grade 8,Hindi,Chapter 5: कबीर के दोहे,Core explanation,UNSUPPORTED_CLAIM,low,कबीर प्रकृति के उदाहरण से कहते हैं कि किसी भी बात की अति ठीक नहीं।,The source text does not explicitly mention that Kabir says that any excess is wrong.
Grade 8,Hindi,Chapter 5: कबीर के दोहे,Exam-style problems,TOPIC_MISMATCH,low,संगति विचार और व्यवहार बदलती है।,"This step is supposed to be about exam-style problems, but it's actually about the concept of sangati."
Grade 8,Hindi,Chapter 5: कबीर के दोहे,Revision and recap,TOPIC_MISMATCH,low,पाठ दोहों को केवल याद करने तक सीमित नहीं रखता।,"This step is supposed to be about revision and recap, but it's actually about the concept of the chapter."
Grade 8,Hindi,Chapter 5: कबीर के दोहे,Worked examples,TOPIC_MISMATCH,low,कबीर उस आलोचक को उपयोगी मानते हैं जो हमारी कमियाँ दिखाता है।,"This step is supposed to be about worked examples, but it's actually about the concept of ninda."
Grade 8,Hindi,Chapter 6: एक टोकरी भर मिट्टी,Core explanation,UNSUPPORTED_CLAIM,low,वह अपने महल का अहाता झोंपड़ी तक बढ़ाना चाहता था।,यह मानना गलत है कि वृद्धा केवल जिद या आर्थिक लाभ के कारण वहाँ से नहीं जाना चाहती थी।
Grade 8,Hindi,Chapter 6: एक टोकरी भर मिट्टी,Exam-style problems,UNSUPPORTED_CLAIM,low,‘भरोसा है कि वह रोटी खाने लगेगी’ और ‘वृद्धा की झोंपड़ी’ में ‘कि’ तथा ‘की’ का अंतर स्पष्ट कीजिए।,दोनों का उच्चारण निकट होने के कारण उन्हें एक ही शब्द समझना गलत है; उनके कार्य अलग हैं।
Grade 8,Hindi,Chapter 6: एक टोकरी भर मिट्टी,Revision and recap,UNSUPPORTED_CLAIM,low,‘सच्ची शक्ति दया और न्याय में है’ कथन पर विचार करके शक्ति का मानवीय अर्थ समझा जाता है।,दया का अर्थ अन्याय को अनदेखा करना नहीं; यहाँ दया के साथ अधिकार की वापसी भी आवश्यक है।
Grade 8,Hindi,Chapter 6: एक टोकरी भर मिट्टी,Worked examples,UNSUPPORTED_CLAIM,low,"कहानी में कम पात्र हैं, पर प्रत्येक की भूमिका अर्थपूर्ण है।",उसे केवल दया की पात्र मानना अधूरा है; वह सक्रिय रूप से न्याय प्राप्त करने की योजना बनाती है।
Grade 8,Hindi,Chapter 7: मत बाँधो,Concept introduction,UNSUPPORTED_CLAIM,low,सपनों के पंख न काटने और उनकी गति न बाँधने—को समझेंगे।,The concept introduction does not explicitly state that the poem is about not cutting the wings of dreams and not restraining their movement.
Grade 8,Hindi,Chapter 7: मत बाँधो,Core explanation,UNSUPPORTED_CLAIM,low,सपने में ऊपर जाने और फिर आँखों में लौटने की दोनों गतियाँ हैं।,"The core explanation does not explicitly state that the poem is about the two movements of dreams, ascending and descending."
Grade 8,Hindi,Chapter 7: मत बाँधो,Exam-style problems,UNSUPPORTED_CLAIM,low,कविता में सपने का मानवीकरण कैसे हुआ है?,The exam-style problems do not explicitly state that the poem is about the humanization of dreams.
Grade 8,Hindi,Chapter 7: मत बाँधो,Revision and recap,UNSUPPORTED_CLAIM,low,सपने समाज के साझा लक्ष्य बन सकते हैं।,The revision and recap does not explicitly state that the poem is about dreams becoming shared goals of society.
Grade 8,Hindi,Chapter 7: मत बाँधो,Worked examples,UNSUPPORTED_CLAIM,low,सपना धरती पर क्या लेकर लौटता है?,The worked examples do not explicitly state that the poem is about the dream returning to the earth with something.
Grade 8,Hindi,Chapter 8: नए मेहमान,Core explanation,UNSUPPORTED_CLAIM,low,हास्य का अर्थ यह नहीं कि परिवार की गरमी और बीमारी की परेशानी महत्वहीन है;,"This statement contradicts the main theme of the one-act play, which focuses on the struggles of the family due to the heat and illness."
Grade 8,Hindi,Chapter 8: नए मेहमान,Revision and recap,UNSUPPORTED_CLAIM,low,‘अतिथि देवो भव’ का अर्थ यह नहीं कि बिना पहचान किसी को भी घर में प्रवेश दे दिया जाए;,"This statement contradicts the main theme of the one-act play, which emphasizes the importance of proper identification and hospitality."
Grade 8,Hindi,Chapter 9: आदमी का अनुपात,Concept introduction,TOPIC_MISMATCH,low,आप कविता में छोटे से विराट की ओर बढ़ते विस्तार-क्रम को समझेंगे।,"यह पाठ विस्तार-क्रम के बारे में नहीं है, बल्कि कविता के बारे में है।"
Grade 8,Hindi,Chapter 9: आदमी का अनुपात,Core explanation,UNSUPPORTED_CLAIM,medium,विराट ब्रह्मांड के सामने छोटा मनुष्य स्वयं को दूसरों का स्वामी मानता है।,"यह दावा कविता में नहीं कहा गया है, बल्कि कविता में यह कहा गया है कि मनुष्य दूसरों को स्वामी मानता है।"
Grade 8,Hindi,Chapter 9: आदमी का अनुपात,Exam-style problems,TOPIC_MISMATCH,low,आप कविता के शिल्प और व्याकरणिक विशेषताओं का अभ्यास करेंगे।,"यह पाठ कविता के शिल्प और व्याकरणिक विशेषताओं के बारे में नहीं है, बल्कि कविता के व्यंग्य और अर्थ के बारे में है।"
Grade 8,Hindi,Chapter 9: आदमी का अनुपात,Revision and recap,TOPIC_MISMATCH,low,"आप भारतीय संख्या-प्रणाली, समावेशन और ‘होंगे कामयाब’ गीत से जुड़े अंतिम भागों का पुनरावलोकन करेंगे।","यह पाठ कविता के अंतिम भागों के बारे में नहीं है, बल्कि कविता के मूल्य और विराट दृष्टिकोण के बारे में है।"
Grade 8,Hindi,Chapter 9: आदमी का अनुपात,Worked examples,TOPIC_MISMATCH,low,"आप कविता के संदेश को सहअस्तित्व, सौहार्द, समावेशिता और पृथ्वी की सुरक्षा से जोड़ेंगे।","यह पाठ कविता के संदेश के बारे में नहीं है, बल्कि कविता के मूल्य और विराट दृष्टिकोण के बारे में है।"
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Core explanation,UNSUPPORTED_CLAIM,low,"1:6,000,000 means 1 unit on the map represents 6,000,000 of the same units on the ground.","The statement is not entirely accurate, as it should be 1 unit on the map represents 6,000,000 units on the ground, not 'of the same units'."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Core explanation,FABRICATED_NUMBER,low,"60,000÷100=60,000 m.","The division result is 600, not 60,000."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Core explanation,FABRICATED_NUMBER,low,"60,000÷1000=60 km.","The division result is 60, not 60 km."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Core explanation,FABRICATED_NUMBER,low,The HCF of all five terms is 2; dividing every term by 2 gives 6:5:4:3:2.,"The HCF of 12, 10, 8, 6, and 4 is 2, but the division result is 6:5:4:3:2, not 6:5:4:3:2."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Revision and recap,UNSUPPORTED_CLAIM,low,"For the same road, workers and days are inversely proportional.","The statement is not entirely accurate, as it should be 'For the same work at equal efficiency, workers and days are inversely proportional'."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Revision and recap,ARITHMETIC_ERROR,low,20×4=10×d.,"The equation should be 20×4=10×d, not 20×4=10×d."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Revision and recap,FABRICATED_NUMBER,low,80=10d.,"The equation should be 80=10d, not 80=10d."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Revision and recap,FABRICATED_NUMBER,low,d=8.,"The equation should be d=8, not d=8."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Worked examples,FABRICATED_NUMBER,low,50÷10=5 ml.,"The division result is 5, not 5 ml."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Worked examples,FABRICATED_NUMBER,low,2×5=10 ml.,"The multiplication result is 10, not 10 ml."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Worked examples,FABRICATED_NUMBER,low,3×5=15 ml.,"The multiplication result is 15, not 15 ml."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Worked examples,FABRICATED_NUMBER,low,5×5=25 ml.,"The multiplication result is 25, not 25 ml."
Grade 8,Maths,Chapter 10: Proportional Reasoning-2,Worked examples,FABRICATED_NUMBER,low,10+15+25=50 ml.,"The addition result is 50, not 50 ml."
Grade 8,Maths,Chapter 11: Exploring Some Geometric Themes,Concept introduction,UNSUPPORTED_CLAIM,low,Fractals have also long been used in human-made art!,"This statement is not supported by the provided source text, which only mentions natural examples of fractals."
Grade 8,Maths,Chapter 11: Exploring Some Geometric Themes,Core explanation,FABRICATED_NUMBER,low,A cube has 11 distinct nets up to rotations and flips.,"The source text does not mention the number of distinct cube nets, and this claim is not supported by the provided text."
Grade 8,Maths,Chapter 11: Exploring Some Geometric Themes,Revision and recap,TOPIC_MISMATCH,high,Fractals and projections are both geometric ways of seeing structure.,"This statement is not relevant to the current chapter, which is about visualizing solids, not fractals."
Grade 8,Maths,Chapter 11: Exploring Some Geometric Themes,Worked examples,ARITHMETIC_ERROR,low,"A pentagonal prism has 7 faces, 15 edges and 10 vertices.","The calculation for the number of edges is incorrect; it should be 3n = 3*5 = 15, but this is correct. However, the calculation for the number of vertices is incorrect; it should be 2n = 2*5 = 10, not 2n+1."
Grade 8,Maths,Chapter 12: Tales by Dots and Lines,Core explanation,UNSUPPORTED_CLAIM,low,A new value above the current mean pulls it upward; one below pulls it downward.,This statement is an oversimplification and does not accurately describe how the mean changes when a new value is added.
Grade 8,Maths,Chapter 13: Algebra Play,Core explanation: Chapter 6: Algebra Play,UNSUPPORTED_CLAIM,low,The chapter's steps simplify to 100M+165+D.,This simplification is not explicitly shown in the source text.
Grade 8,Maths,Chapter 13: Algebra Play,Exam-style problems: Chapter 6: Algebra Play,FABRICATED_NUMBER,low,"For digits p<q<r, compare how each placement changes the product.","The numbers 9, 11, 37, 7, and 13 are not explicitly mentioned in the source text."
Grade 8,Maths,Chapter 13: Algebra Play,Revision and recap: Chapter 6: Algebra Play,UNSUPPORTED_CLAIM,low,The repeated block contributes one abc in the units group and one multiplied by 1000; their sum is (1000+1)abc=1001abc.,This explanation is not explicitly shown in the source text.
Grade 8,Maths,Chapter 14: Area,Core explanation,UNSUPPORTED_CLAIM,low,A triangle can be paired with a congruent copy or enclosed in a rectangle. It occupies half the area of a rectangle having the same base and height.,"This statement is not entirely accurate as it implies that the triangle's area is always half the area of the rectangle, but the correct statement is that the triangle's area is half the area of the rectangle when the triangle's base and height are the same as the rectangle's base and height."
Grade 8,Maths,Chapter 2: Power Play,Concept introduction,UNSUPPORTED_CLAIM,low,The thickness after n folds is 0.001 × 2ⁿ cm.,"This formula is not explicitly mentioned in the source text, but it is a reasonable simplification of the doubling process described."
Grade 8,Maths,Chapter 2: Power Play,Core explanation,UNSUPPORTED_CLAIM,low,Linear growth repeatedly adds a fixed amount.,"This statement is not explicitly mentioned in the source text, but it is a reasonable description of linear growth."
Grade 8,Maths,Chapter 2: Power Play,Core explanation,UNSUPPORTED_CLAIM,low,Exponential growth repeatedly multiplies by a fixed factor.,"This statement is not explicitly mentioned in the source text, but it is a reasonable description of exponential growth."
Grade 8,Maths,Chapter 2: Power Play,Exam-style problems,UNSUPPORTED_CLAIM,low,"Scientific notation writes a nonzero number as x × 10ⁿ, where 1 ≤ x < 10 and n is an integer.","This definition is not explicitly mentioned in the source text, but it is a reasonable description of scientific notation."
Grade 8,Maths,Chapter 2: Power Play,Revision and recap,UNSUPPORTED_CLAIM,low,"A model is useful only when its assumptions, units and repeated operation are clear.","This statement is not explicitly mentioned in the source text, but it is a reasonable principle of modeling."
Grade 8,Maths,Chapter 2: Power Play,Worked examples,UNSUPPORTED_CLAIM,low,Exponent laws shorten products and quotients that have the same base.,"This statement is not explicitly mentioned in the source text, but it is a reasonable description of exponent laws."
Grade 8,Maths,Chapter 3: A Story of Numbers,Core explanation,UNSUPPORTED_CLAIM,low,The earliest representations often used one mark per object.,The source text does not explicitly state that the earliest representations used one mark per object.
Grade 8,Maths,Chapter 3: A Story of Numbers,Revision and recap,UNSUPPORTED_CLAIM,low,The Indian origin roughly two thousand years ago.,The source text does not explicitly state that the Indian origin is roughly two thousand years ago.
Grade 8,Maths,Chapter 4: Quadrilaterals,Concept introduction,UNSUPPORTED_CLAIM,low,"A rectangle has four right angles. Its opposite sides are equal and parallel, and its diagonals are equal and meet at their common midpoint.",The statement that a rectangle's opposite sides are parallel is not explicitly mentioned in the source text.
Grade 8,Maths,Chapter 4: Quadrilaterals,Core explanation,UNSUPPORTED_CLAIM,low,A square is a rectangle with all four sides equal. Its equal diagonals bisect each other at right angles and also bisect the four vertex angles.,The source text does not explicitly mention that a square's diagonals bisect its vertex angles.
Grade 8,Maths,Chapter 4: Quadrilaterals,Exam-style problems,UNSUPPORTED_CLAIM,low,A rhombus is a parallelogram with all sides equal.,The source text does not explicitly mention that a rhombus is a parallelogram.
Grade 8,Maths,Chapter 4: Quadrilaterals,Exam-style problems,UNSUPPORTED_CLAIM,low,A kite has two pairs of equal adjacent sides.,The source text does not explicitly mention that a kite has two pairs of equal adjacent sides.
Grade 8,Maths,Chapter 4: Quadrilaterals,Revision and recap,UNSUPPORTED_CLAIM,low,A trapezium has at least one pair of parallel opposite sides.,The source text does not explicitly mention that a trapezium has at least one pair of parallel opposite sides.
Grade 8,Maths,Chapter 4: Quadrilaterals,Worked examples,UNSUPPORTED_CLAIM,low,A parallelogram has both pairs of opposite sides parallel.,The source text does not explicitly mention that a parallelogram has both pairs of opposite sides parallel.
Grade 8,Maths,"Chapter 6: We Distribute, Yet Things Multiply",Core explanation,UNSUPPORTED_CLAIM,low,Every term in the first bracket multiplies every term in the second bracket.,"This statement is not entirely accurate, as it does not specify that the terms must be multiplied in pairs."
Grade 8,Maths,"Chapter 6: We Distribute, Yet Things Multiply",Exam-style problems,FABRICATED_NUMBER,low,65=60+5.,The numbers 60 and 5 are not mentioned in the SOURCE_TEXT as being used to derive the identity (a+b)²=a²+2ab+b².
Grade 8,Maths,"Chapter 6: We Distribute, Yet Things Multiply",Worked examples,ARITHMETIC_ERROR,low,(3a/2)·a = 3a²/2.,The correct calculation should be (3a/2)·a = (3/2)a².
Grade 8,Maths,Chapter 7: Proportional Reasoning-1,Concept introduction,UNSUPPORTED_CLAIM,low,You will identify proportional change through image resizing.,"The chapter label is Proportional Reasoning-1, but the step is about image resizing, which is not explicitly mentioned in the chapter label."
Grade 8,Maths,Chapter 7: Proportional Reasoning-1,Core explanation,UNSUPPORTED_CLAIM,low,The ratio a:b compares the first quantity with the second.,The SOURCE_TEXT does not explicitly mention that the first quantity is compared with the second in a ratio.
Grade 8,Maths,Chapter 7: Proportional Reasoning-1,Exam-style problems,TOPIC_MISMATCH,high,If a car travels 90 km in 150 minutes at constant speed. Find the distance in 4 hours.,"The step is about using the Rule of Three to solve a problem, but the SOURCE_TEXT does not mention the Rule of Three in the context of finding distance in 4 hours."
Grade 8,Maths,Chapter 7: Proportional Reasoning-1,Revision and recap,TOPIC_MISMATCH,high,A proportional model is appropriate only when the relationship stays multiplicatively constant.,"The SOURCE_TEXT does not mention non-proportional situations, price comparisons, and sharing a whole in a ratio in the context of Chapter 7: Proportional Reasoning."
Grade 8,Maths,Chapter 7: Proportional Reasoning-1,Worked examples,TOPIC_MISMATCH,high,Kesang uses 10 spoons of sugar for 6 glasses of lemonade. How many spoons are needed for 18 glasses at the same sweetness?,The SOURCE_TEXT does not mention direct-proportion problems by scale factor in the context of Chapter 7: Proportional Reasoning.
Grade 8,Maths,Chapter 8: Fractions in Disguise,Concept introduction,UNSUPPORTED_CLAIM,low,"The number 100 is round, and easy to understand and work with.","This statement is not supported by the SOURCE_TEXT, which only mentions that 100 is a convenient number for calculations due to our base 10 number system."
Grade 8,Maths,Chapter 8: Fractions in Disguise,Core explanation,UNSUPPORTED_CLAIM,low,A percentage can be treated as a fraction or decimal multiplier.,"This statement is not explicitly supported by the SOURCE_TEXT, which only mentions that percentages can be converted to fractions or decimals."
Grade 8,Maths,Chapter 8: Fractions in Disguise,Exam-style problems,UNSUPPORTED_CLAIM,low,"Commercial percentage problems are built from a sequence of bases: cost price, marked price and selling price.","This statement is not supported by the SOURCE_TEXT, which only mentions that profit and loss percentages use cost price as their base, and discount usually uses marked price as its base."
Grade 8,Maths,Chapter 8: Fractions in Disguise,Revision and recap,UNSUPPORTED_CLAIM,low,Compounding changes the principal after every term.,"This statement is not supported by the SOURCE_TEXT, which only mentions that compounding changes the amount after every term."
Grade 8,Maths,Chapter 9: The Baudhayana-Pythagoras Theorem,Concept introduction,UNSUPPORTED_CLAIM,low,A square's area depends on the square of its side.,This is a common knowledge fact and not explicitly stated in the SOURCE_TEXT.
Grade 8,Maths,Chapter 9: The Baudhayana-Pythagoras Theorem,Core explanation,UNSUPPORTED_CLAIM,low,The hypotenuse is a√2.,This is a common knowledge fact and not explicitly stated in the SOURCE_TEXT.
Grade 8,Maths,Chapter 9: The Baudhayana-Pythagoras Theorem,Exam-style problems,UNSUPPORTED_CLAIM,low,A Baudhayana-Pythagoras triple is a triple of positive integers satisfying a²+b²=c².,This is a common knowledge fact and not explicitly stated in the SOURCE_TEXT.
Grade 8,Maths,Chapter 9: The Baudhayana-Pythagoras Theorem,Revision and recap,UNSUPPORTED_CLAIM,low,Fermat's Last Theorem states that there are no positive-integer solutions for n>2.,This is a common knowledge fact and not explicitly stated in the SOURCE_TEXT.
Grade 8,Maths,Chapter 9: The Baudhayana-Pythagoras Theorem,Worked examples,ARITHMETIC_ERROR,low,25+144=c².,"The calculation 25+144=169 is correct, but the step is not explicitly mentioned in the SOURCE_TEXT."
Grade 8,Maths,Part 1 - Exemplar: Algebraic Expressions and Identities,Worked example (2),ARITHMETIC_ERROR,low,-p^{1+2}qr = -p^{3}qr,The calculation for the coefficient of the first term is incorrect.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Step-by-step breakdown,FABRICATED_NUMBER,low,"The textbook example uses the interval *4–8* (include 4, exclude 8).",The example interval is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,"The first interval is **4–8** (4 inclusive, 8 exclusive),",The example interval is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,The given interval 4–8 has width 8–4 = **4**.,The width calculation is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,"With width = 4, the intervals will be: 4–8, 8–12, 12–16, 16–20, 20–24 … (stop when the maximum value is covered).",The list of intervals is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,4 ≤ x < 8,The interval notation is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,8 ≤ x < 12,The interval notation is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,12 ≤ x < 16,The interval notation is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,16 ≤ x < 20,The interval notation is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,20 ≤ x < 24,The interval notation is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,values 7 → | 1 |,The tally mark is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,"values 10, 11, 10 → ||| 3 |",The tally marks are not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,"values 13, 12, 14, 15, 13, 14 → |||||| 6 |",The tally marks are not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,"values 16, 17 → || 2 |",The tally marks are not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,value 20 → | 1 |,The tally mark is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,4–8  : 1,The frequency is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,8–12 : 3,The frequency is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,12–16 : 6,The frequency is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,16–20 : 2,The frequency is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Data Handling,Worked example,FABRICATED_NUMBER,low,20–24 : 1,The frequency is not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Introduction to Graphs,Core explanation,FABRICATED_NUMBER,low,1 cm = 1 unit,The scale chosen is arbitrary and not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Introduction to Graphs,Worked examples,FABRICATED_NUMBER,low,1 cm = 1 unit,The scale chosen is arbitrary and not supported by the source text.
Grade 8,Maths,Part 1 - Exemplar: Linear Equation in One Variable,Core explanation,UNSUPPORTED_CLAIM,low,"This kind of equation is called ""linear"" because when you graph its solutions, it forms a straight line.",The text does not explicitly state that graphing solutions forms a straight line.
Grade 8,Maths,Part 1 - Exemplar: Linear Equation in One Variable,Revision and recap,UNSUPPORTED_CLAIM,low,The left-hand side (LHS) and the right-hand side (RHS) must weigh the same.,The text does not explicitly state that the left-hand side and right-hand side must weigh the same.
Grade 8,Maths,Part 1 - Exemplar: Mensuration,Revision and recap,TOPIC_MISMATCH,high,How to write numbers in standard (scientific) form and revert them back.,"This topic is about scientific notation, not mensuration."
Grade 8,Maths,Part 1 - Exemplar: Mensuration,Revision and recap,TOPIC_MISMATCH,high,"The rules of exponents (product, quotient, power of a power, zero & negative exponents).","This topic is about exponent rules, not mensuration."
Grade 8,Maths,Part 1 - Exemplar: Mensuration,Revision and recap,TOPIC_MISMATCH,high,"Using these rules to convert units (km → m, tons → g, years → seconds, hectares → cm²).","This topic is about unit conversion, not mensuration."
Grade 8,Maths,Part 1 - Exemplar: Mensuration,Revision and recap,TOPIC_MISMATCH,high,Quick strategies for adding/subtracting numbers in standard form.,"This topic is about arithmetic with scientific notation, not mensuration."
