chapter,step,status,cosine,term_coverage_pct,lesson_words,rag_words,rag_available,missing_terms,notes
Chapter 6: The Dairy Farm,What We Learn,GOOD,0.512,60.0,585,5267,True,"indd, reprint, following, added, cows, milk, coins, discuss","Missing key RAG terms: indd, reprint, following, added, cows, milk; Lesson (585w) much shorter than RAG content (5267w)"
Chapter 6: The Dairy Farm,Worked Examples,PARTIAL,0.558,45.0,572,5267,True,"dairy, farm, indd, chapter, reprint, following, added, cows, milk, coins, discuss","Missing key RAG terms: dairy, farm, indd, chapter, reprint, following; Lesson (572w) much shorter than RAG content (5267w)"
Chapter 7: Shapes and Patterns,Recap,GOOD,0.546,80.0,542,2403,True,indd,Missing key RAG terms: indd; Lesson (542w) much shorter than RAG content (2403w)
Chapter 7: Shapes and Patterns,What We Learn,GOOD,0.668,80.0,642,2403,True,"sides, indd","Missing key RAG terms: sides, indd; Lesson (642w) much shorter than RAG content (2403w)"
Chapter 7: Shapes and Patterns,Worked Examples,GOOD,0.728,60.0,550,2403,True,"equal, sides, indd, paper","Missing key RAG terms: equal, sides, indd, paper; Lesson (550w) much shorter than RAG content (2403w)"
Chapter 8: Weight and Capacity,Recap,PARTIAL,0.473,35.0,489,3493,True,"indd, chapter, reprint, water, rice, quantity, milk, bottle, petrol","Missing key RAG terms: indd, chapter, reprint, water, rice, quantity; Lesson (489w) much shorter than RAG content (3493w)"
Chapter 8: Weight and Capacity,What We Learn,PARTIAL,0.611,45.0,612,3493,True,"indd, chapter, reprint, water, quantity, milk, weighing, bottle, petrol","Missing key RAG terms: indd, chapter, reprint, water, quantity, milk; Lesson (612w) much shorter than RAG content (3493w)"
Chapter 8: Weight and Capacity,Worked Examples,PARTIAL,0.444,25.0,731,3493,True,"capacity, indd, chapter, reprint, water, rice, quantity, milk, weighing, bottle, petrol","Missing key RAG terms: capacity, indd, chapter, reprint, water, rice; Lesson (731w) much shorter than RAG content (3493w)"
Chapter 9: Coconut Farm,Recap,GOOD,0.726,60.0,565,4318,True,"farm, indd, ones, tens, chapter, reprint, following","Missing key RAG terms: farm, indd, ones, tens, chapter, reprint; Lesson (565w) much shorter than RAG content (4318w)"
Chapter 9: Coconut Farm,What We Learn,GOOD,0.74,65.0,775,4318,True,"farm, indd, ones, tens, chapter, reprint, following","Missing key RAG terms: farm, indd, ones, tens, chapter, reprint; Lesson (775w) much shorter than RAG content (4318w)"
Chapter 9: Coconut Farm,Worked Examples,GOOD,0.731,75.0,737,4318,True,"indd, chapter, reprint, following","Missing key RAG terms: indd, chapter, reprint, following; Lesson (737w) much shorter than RAG content (4318w)"
Shapes and Angles,Recap,PARTIAL,0.687,45.0,549,560,True,"marked, rohini, mohini, make, number, matchsticks, mark, branches","Missing key RAG terms: marked, rohini, mohini, make, number, matchsticks"
Shapes and Angles,What We Learn,PARTIAL,0.668,55.0,470,560,True,"rohini, same, mohini, number, matchsticks, branches","Missing key RAG terms: rohini, same, mohini, number, matchsticks, branches"
Shapes and Angles,Worked Examples,PARTIAL,0.571,45.0,612,560,True,"marked, rohini, same, mohini, equal, matchsticks, mark, branches","Missing key RAG terms: marked, rohini, same, mohini, equal, matchsticks"
The Fish Tale,Recap,PARTIAL,0.685,15.0,564,2377,True,"boat, boats, catch, month, fishermen, bank, long, fresh, find, sell, look, hour, motor","Missing key RAG terms: boat, boats, catch, month, fishermen, bank; Lesson (564w) much shorter than RAG content (2377w)"
The Fish Tale,What We Learn,PARTIAL,0.477,25.0,529,2377,True,"fish, boat, boats, catch, fishermen, bank, long, fresh, sell, hour, motor","Missing key RAG terms: fish, boat, boats, catch, fishermen, bank; Lesson (529w) much shorter than RAG content (2377w)"
The Fish Tale,Worked Examples,PARTIAL,0.584,25.0,782,2377,True,"fish, boat, boats, catch, month, fishermen, bank, long, fresh, sell, hour, motor","Missing key RAG terms: fish, boat, boats, catch, month, fishermen"
